time_stamp,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,nav_roll,nav_pitch,nav_bearing,target_bearing,wp_dist,alt_error,airspeed,groundspeed,throttle,climb,heading,GPS_status,Gyro_status,Accel_status,Baro_status,PreArm_error,chan1_raw,chan2_raw,chan3_raw,chan4_raw,satellites_visible
17:15:08,STABILIZE,-0.0010227715829387307,0.0009118632297031581,0.021491410210728645,5.483825225383043e-05,0.00043717934750020504,0.002004331909120083,-35.3632621,149.1652375,0.0,-0.0003750970936380327,0.00015500601148232818,1.0,0.0,0.0,0.007229357026517391,0.0,0.01604050025343895,0.0,-0.01568836346268654,1.0,1.0,1.0,1.0,1.0,0.0,1500.0,1500.0,1000.0,1500.0,10.0
17:15:09,STABILIZE,-0.0008211708045564592,0.0009858050616458058,0.02094755694270134,0.00018977175932377577,0.00035524903796613216,0.001942223054356873,-35.3632621,149.1652375,0.0,-0.00037509755929932,0.00015500621520914137,1.0,0.0,0.0,0.01412191241979599,0.0,0.014972566626966,0.0,-0.027680435217916965,1.0,1.0,1.0,1.0,1.0,0.0,1500.0,1500.0,1000.0,1500.0,10.0
17:15:11,STABILIZE,-0.000844445254188031,0.0012286772835068405,0.020022847689688206,0.00010538013884797692,0.0003155238227918744,0.0017089371103793383,-35.3632621,149.1652375,0.0,-0.00037509918911382556,0.00015500669906032272,1.0,0.0,0.0,0.030742906965315342,0.0,0.020063108764588833,0.0,-0.026637788396328688,1.0,1.0,1.0,1.0,1.0,0.0,1500.0,1500.0,1000.0,1500.0,10.0
17:15:12,STABILIZE,-0.0006775828660465777,0.0012795813381671906,0.019703466445207596,0.00014419585932046175,0.0003520892933011055,0.001618425128981471,-35.3632621,149.1652375,0.0,-0.00037509965477511287,0.0001550067972857505,1.0,0.0,0.0,0.03605310246348381,0.0,0.016326330602169037,0.0,-0.043399881571531296,1.0,1.0,1.0,1.0,1.0,0.0,1500.0,1500.0,1000.0,1500.0,10.0
17:15:15,STABILIZE,-0.0008512042695656419,0.001121219325189789,0.018479348470767338,0.00019559423283984265,0.00023555837105959654,0.0016254479996860027,-35.3632622,149.1652375,0.0,-0.00037510175025090575,0.000155007466673851,1.0,0.0,0.0,0.01890711858868599,0.0,0.02035542204976082,0.0,-0.010954530909657478,1.0,1.0,1.0,1.0,1.0,0.0,1500.0,1500.0,1000.0,1500.0,10.0
17:15:18,STABILIZE,-0.0006476533017121255,0.0010937672341242433,0.017659172415733337,0.000141264870762825,0.0002711521228775382,0.0015461680013686419,-35.3632622,149.1652375,0.0,-0.0003751030017156154,0.00015500788867939264,1.0,0.0,0.0,0.017739007249474525,0.0,0.018746506422758102,0.0,-0.012504816986620426,1.0,1.0,1.0,1.0,1.0,0.0,1500.0,1500.0,1000.0,1500.0,10.0
17:15:21,STABILIZE,-0.0008041721303015947,0.001063642674125731,0.0166544858366251,0.00019969193575282892,0.00024164142087101936,0.0014771799712131421,-35.3632622,149.1652375,0.0,-0.000375104524816076,0.00015500825247727334,0.0,0.0,0.0,0.004232195943283538,0.0,0.028679837783177693,0.0,0.018195762454221647,0.0,1.0,1.0,1.0,1.0,0.0,1500.0,1500.0,1000.0,1500.0,10.0
17:15:23,AUTO,-0.0008769283595029265,0.0008608215139247477,0.01614136341959238,4.151224857196212e-05,0.00013868004316464067,0.0014606948825530708,-35.3632622,149.1652375,3.0,-0.00037510482555565733,0.00015500835919131836,0.0,93.66666666666667,0.0,-0.004458016405502955,0.0,0.023180348798632622,0.0,0.020640230427185696,0.0,1.0,1.0,1.0,1.0,0.0,1500.0,1500.0,1000.0,1500.0,10.0
17:15:24,AUTO,-0.0009168958058580756,0.0008406876586377621,0.01608515903353691,0.0002053206553682685,0.00029226415790617466,0.0013552075251936913,-35.3632622,149.1652375,7.0,-0.0003751048643607646,0.00015500844165217131,0.0,141.0,0.0,0.0,0.0,0.017809845507144928,0.0,0.019176898524165154,0.0,1.0,1.0,1.0,1.0,0.0,1500.0,1500.0,1000.0,1500.0,10.0
17:15:25,AUTO,-0.0005477002899472913,0.0010809108304480712,0.015710408488909405,0.00010834700272728999,0.00028123198232303065,0.0013528115038449566,-35.3632622,149.1652375,0.0,-0.0003751054755412042,0.00015500845620408654,0.0,142.33333333333334,0.0,0.0,0.0,0.0035243988192329803,0.0,-0.0014189577971895535,0.0,1.0,1.0,1.0,1.0,0.0,1500.0,1500.0,1000.0,1500.0,10.0
